#Software: Microsoft Internet Information Services 5.0
#Version: 1.0
#Date: 2003-09-04 00:14:43
#Fields: date time c-ip cs-method cs-uri-stem sc-status sc-bytes cs-bytes time-taken cs-version cs(User-Agent) 
2003-09-04 00:14:43 64.156.198.77 GET /index.htm 200 7827 129 156 HTTP/1.1 Mozilla/5.0+(compatible;+Konqueror/3.0-rc1;+i686+Linux;+20020721)
2003-09-04 02:05:51 24.160.102.236 GET /index.htm 200 7827 378 375 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-04 02:05:51 24.160.102.236 GET /images/bg_gradient_home.jpg 200 4800 448 141 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-04 02:05:51 24.160.102.236 GET /favicon.ico 404 4203 389 0 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-04 02:05:53 24.160.102.236 GET /images/goodbye.jpg 200 22180 439 1375 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-04 02:05:53 24.160.102.236 GET /images/map_beige_guat7.jpg 200 44182 447 2156 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-04 02:06:47 24.160.102.236 GET /usa.htm 200 7196 428 328 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-04 02:06:47 24.160.102.236 GET /images/South+courtyard.jpg 200 18952 456 890 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-04 02:06:49 24.160.102.236 GET /images/map_BG.jpg 200 8918 445 1312 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-04 02:06:49 24.160.102.236 GET /images/usa.jpg 200 22062 442 1531 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-04 02:07:15 24.160.102.236 GET /guatemala.htm 200 9672 441 656 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-04 02:07:15 24.160.102.236 GET /images/guat1.jpg 200 5508 450 282 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-04 02:07:15 24.160.102.236 GET /images/guat2.jpg 200 6144 450 282 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-04 02:07:15 24.160.102.236 GET /images/header_guat.jpg 200 21628 456 687 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-04 02:08:05 24.160.102.236 GET /china.htm 200 8186 430 437 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-04 02:08:05 24.160.102.236 GET /images/china1.jpg 200 14094 447 563 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-04 02:08:07 24.160.102.236 GET /images/china2.jpg 200 13544 447 1219 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-04 02:08:07 24.160.102.236 GET /images/china.jpg 200 21764 446 1406 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-04 02:08:10 24.160.102.236 GET /china.htm 200 0 430 110 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-04 02:08:43 24.160.102.236 GET /japan.htm 200 6349 439 297 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-04 02:08:43 24.160.102.236 GET /images/japan1.jpg 200 16493 447 531 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-04 02:08:44 24.160.102.236 GET /images/japan.jpg 200 20598 446 953 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-04 02:11:49 24.160.102.236 GET /index.htm 200 7827 378 391 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-04 02:11:49 24.160.102.236 GET /images/bg_gradient_home.jpg 200 4800 448 265 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-04 02:11:50 24.160.102.236 GET /images/goodbye.jpg 200 22180 439 1125 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
