#Software: Microsoft Internet Information Services 5.0
#Version: 1.0
#Date: 2004-07-03 14:18:06
#Fields: date time c-ip cs-method cs-uri-stem sc-status sc-bytes cs-bytes time-taken cs-version cs(User-Agent) 
2004-07-03 14:18:06 66.194.6.72 GET /index.htm 200 7827 123 3063 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312466)
2004-07-03 16:19:38 165.121.25.143 GET /index.htm 200 7851 329 1609 HTTP/1.0 Mozilla/4.77C-CCK-MCD+{C-UDP;+EBM-APPLE}+(Macintosh;+U;+PPC)
2004-07-03 16:19:42 165.121.25.143 GET /images/bg_gradient_home.jpg 200 4824 374 3625 HTTP/1.0 Mozilla/4.77C-CCK-MCD+{C-UDP;+EBM-APPLE}+(Macintosh;+U;+PPC)
2004-07-03 16:19:47 165.121.25.143 GET /images/bg_gradient_home.jpg 200 4824 374 8515 HTTP/1.0 Mozilla/4.77C-CCK-MCD+{C-UDP;+EBM-APPLE}+(Macintosh;+U;+PPC)
2004-07-03 16:20:06 165.121.25.143 GET /images/goodbye.jpg 200 22204 365 27437 HTTP/1.0 Mozilla/4.77C-CCK-MCD+{C-UDP;+EBM-APPLE}+(Macintosh;+U;+PPC)
2004-07-03 16:20:16 165.121.25.143 GET /images/map_beige_guat7.jpg 200 44206 373 37906 HTTP/1.0 Mozilla/4.77C-CCK-MCD+{C-UDP;+EBM-APPLE}+(Macintosh;+U;+PPC)
2004-07-03 21:49:27 165.121.26.230 GET /index.htm 200 7851 329 1703 HTTP/1.0 Mozilla/4.77C-CCK-MCD+{C-UDP;+EBM-APPLE}+(Macintosh;+U;+PPC)
2004-07-03 21:49:31 165.121.26.230 GET /images/bg_gradient_home.jpg 200 4824 374 3547 HTTP/1.0 Mozilla/4.77C-CCK-MCD+{C-UDP;+EBM-APPLE}+(Macintosh;+U;+PPC)
2004-07-03 21:49:36 165.121.26.230 GET /images/bg_gradient_home.jpg 200 4824 374 8453 HTTP/1.0 Mozilla/4.77C-CCK-MCD+{C-UDP;+EBM-APPLE}+(Macintosh;+U;+PPC)
2004-07-03 21:49:53 165.121.26.230 GET /images/goodbye.jpg 200 22204 365 26047 HTTP/1.0 Mozilla/4.77C-CCK-MCD+{C-UDP;+EBM-APPLE}+(Macintosh;+U;+PPC)
2004-07-03 21:50:09 165.121.26.230 GET /images/map_beige_guat7.jpg 200 44206 373 41859 HTTP/1.0 Mozilla/4.77C-CCK-MCD+{C-UDP;+EBM-APPLE}+(Macintosh;+U;+PPC)
