#Software: Microsoft Internet Information Services 5.0
#Version: 1.0
#Date: 2003-10-07 17:14:19
#Fields: date time c-ip cs-method cs-uri-stem sc-status sc-bytes cs-bytes time-taken cs-version cs(User-Agent) 
2003-10-07 17:14:19 64.156.198.77 GET /index.htm 200 7827 129 157 HTTP/1.1 Mozilla/5.0+(compatible;+Konqueror/3.0-rc2;+i686+Linux;+20020322)
2003-10-07 19:59:21 206.40.148.66 GET /index.htm 200 7851 375 344 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.1.4322)
2003-10-07 19:59:21 206.40.148.66 GET /images/bg_gradient_home.jpg 200 4824 284 156 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.1.4322)
2003-10-07 19:59:22 206.40.148.66 GET /images/goodbye.jpg 200 22204 275 1390 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.1.4322)
2003-10-07 19:59:23 206.40.148.66 GET /images/map_beige_guat7.jpg 200 44206 283 2234 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.1.4322)
2003-10-07 19:59:41 206.40.148.66 GET /japan.htm 200 6373 427 141 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.1.4322)
2003-10-07 19:59:42 206.40.148.66 GET /images/japan1.jpg 200 16517 283 938 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.1.4322)
2003-10-07 19:59:42 206.40.148.66 GET /images/japan.jpg 200 20622 282 1328 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.1.4322)
2003-10-07 19:59:42 206.40.148.66 GET /images/map_BG.jpg 200 8942 283 640 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.1.4322)
2003-10-07 20:00:04 206.40.148.66 GET /india.htm 200 8318 427 234 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.1.4322)
2003-10-07 20:00:04 206.40.148.66 GET /images/india1.jpg 200 6344 283 219 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.1.4322)
2003-10-07 20:00:06 206.40.148.66 GET /images/india2.jpg 200 24059 283 1406 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.1.4322)
2003-10-07 20:00:06 206.40.148.66 GET /images/india.jpg 200 21784 282 1484 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.1.4322)
2003-10-07 20:00:14 206.40.148.66 GET /india/index.htm 200 10647 229 547 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.1.4322)
2003-10-07 20:00:14 206.40.148.66 GET /india/thumbnails/02women+in+SHARE+craftroom.jpg 200 4014 325 406 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.1.4322)
2003-10-07 20:00:14 206.40.148.66 GET /india/thumbnails/01AJ+in+Pakistani+dress.jpg 200 3776 322 94 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.1.4322)
2003-10-07 20:00:14 206.40.148.66 GET /india/thumbnails/04wedding.jpg 200 4596 302 234 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.1.4322)
2003-10-07 20:00:14 206.40.148.66 GET /india/thumbnails/03Annie+craftswoman.jpg 200 2387 314 218 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.1.4322)
2003-10-07 20:00:14 206.40.148.66 GET /india/thumbnails/06Tharas+family.jpg 200 3725 310 250 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.1.4322)
2003-10-07 20:00:14 206.40.148.66 GET /india/thumbnails/05Tharas+house_moms+house.jpg 200 3207 322 219 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.1.4322)
