#Software: Microsoft Internet Information Services 5.0
#Version: 1.0
#Date: 2003-10-27 19:03:40
#Fields: date time c-ip cs-method cs-uri-stem sc-status sc-bytes cs-bytes time-taken cs-version cs(User-Agent) 
2003-10-27 19:03:40 64.156.198.77 GET /index.htm 200 7827 129 172 HTTP/1.1 Mozilla/5.0+(compatible;+Konqueror/3.0-rc2;+i686+Linux;+20020807)
2003-10-27 20:38:18 67.75.207.174 GET /index.htm 200 7827 346 1109 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:38:33 67.75.207.174 GET /images/map_beige_guat7.jpg 200 44182 284 15641 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:38:33 67.75.207.174 GET /images/bg_gradient_home.jpg 200 4800 285 844 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:38:37 67.75.207.174 GET /images/goodbye.jpg 200 22180 276 18907 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:39:35 67.75.207.174 GET /images/journaling2.gif 200 2288 304 1000 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:39:44 67.75.207.174 GET /india/india_journal.htm 200 89719 411 11187 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:39:46 67.75.207.174 GET /images/map_BG.jpg 200 8918 299 1860 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:39:48 67.75.207.174 GET /images/india.jpg 200 21760 298 13532 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:48:12 67.75.207.174 GET /why.htm 200 12122 419 2141 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:48:12 67.75.207.174 GET /india/index.htm 200 10623 231 2156 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:48:14 67.75.207.174 GET /images/map_home_small.jpg 200 7309 291 1687 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:48:16 67.75.207.174 GET /images/Annie_sm.jpg 200 8096 285 2219 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:48:16 67.75.207.174 GET /images/header.gif 200 2014 283 562 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:48:18 67.75.207.174 GET /india/thumbnails/01AJ+in+Pakistani+dress.jpg 200 3752 324 984 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:48:18 67.75.207.174 GET /images/bg_gradient_home.jpg 304 140 380 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:48:19 67.75.207.174 GET /india/thumbnails/02women+in+SHARE+craftroom.jpg 200 3990 327 1203 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:48:19 67.75.207.174 GET /india/thumbnails/03Annie+craftswoman.jpg 200 2363 316 844 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:48:21 67.75.207.174 GET /images/annie-barbara-paul-small.jpg 200 4392 301 7984 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:48:21 67.75.207.174 GET /india/thumbnails/04wedding.jpg 200 4572 304 1094 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:48:23 67.75.207.174 GET /india/thumbnails/06Tharas+family.jpg 200 3701 312 1047 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:48:23 67.75.207.174 GET /india/thumbnails/05Tharas+house_moms+house.jpg 200 3183 324 2250 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:48:23 67.75.207.174 GET /india/thumbnails/07Thara+grinding+chutney.jpg 200 2927 323 719 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:48:23 67.75.207.174 GET /images/map_BG.jpg 304 141 371 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:48:24 67.75.207.174 GET /india/thumbnails/08Pati+on+porch.jpg 200 2931 314 1031 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:48:24 67.75.207.174 GET /india/thumbnails/10getting+water.jpg 200 3809 312 844 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:48:25 67.75.207.174 GET /india/thumbnails/09Sweetie_SHG.jpg 200 4193 308 1703 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:48:25 67.75.207.174 GET /india/thumbnails/12buying+tomatoes.jpg 200 3806 314 1485 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:48:26 67.75.207.174 GET /india/thumbnails/13brick+works.jpg 200 3848 310 1688 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:48:26 67.75.207.174 GET /india/thumbnails/14AJ+learning+Tamil.jpg 200 3549 318 1688 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:48:29 67.75.207.174 GET /india/thumbnails/11carrying.jpg 200 3144 305 1844 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:48:31 67.75.207.174 GET /images/Paul_sm.jpg 200 4772 284 2140 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:48:37 67.75.207.174 GET /images/barbara.jpg 200 17529 284 8859 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:48:37 67.75.207.174 GET /india/thumbnails/15World+Women's+Day.jpg 200 3724 320 5594 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:48:38 67.75.207.174 GET /india/thumbnails/19Paul+on+sleeper+train.jpg 200 3133 324 1265 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:48:38 67.75.207.174 GET /india/thumbnails/16passing+cement.jpg 200 4468 313 1547 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:48:38 67.75.207.174 GET /india/thumbnails/20Dindigul+street+scene.jpg 200 3859 322 875 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:48:39 67.75.207.174 GET /india/thumbnails/21Dindigul+bananas.jpg 200 3609 315 1297 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:48:39 67.75.207.174 GET /india/thumbnails/22Poopathis+family_us.jpg 200 3577 318 1328 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:48:41 67.75.207.174 GET /india/thumbnails/18Annie_Priya.jpg 200 3712 308 1297 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:48:41 67.75.207.174 GET /india/thumbnails/23Sugit_kolam.jpg 200 2958 308 1141 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:48:42 67.75.207.174 GET /india/thumbnails/17Murugesan+++Rani+++B.jpg 200 3101 325 1032 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:48:42 67.75.207.174 GET /india/thumbnails/25Drying+yarn.jpg 200 3346 310 1094 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:48:43 67.75.207.174 GET /india/thumbnails/26Drying+saris.jpg 200 3917 311 1218 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:48:43 67.75.207.174 GET /india/thumbnails/24kolam+-+cow.jpg 200 3198 312 1235 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2003-10-27 20:48:44 67.75.207.174 GET /india/thumbnails/27Madurai+streetscape.jpg 200 3561 318 1204 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
