#Software: Microsoft Internet Information Services 5.0
#Version: 1.0
#Date: 2003-03-16 00:18:29
#Fields: date time c-ip cs-method cs-uri-stem sc-status sc-bytes cs-bytes time-taken cs-version cs(User-Agent) 
2003-03-16 00:18:29 64.156.198.80 GET /index.htm 200 7015 123 156 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312466)
2003-03-16 00:31:13 192.168.0.23 GET /index.htm 304 201 294 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1)
2003-03-16 07:40:35 12.228.216.162 GET /index.htm 200 7015 340 297 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-16 07:40:36 12.228.216.162 GET /images/goodbye.jpg 200 22180 271 1344 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-16 07:40:36 12.228.216.162 GET /images/bg_gradient_home.jpg 200 4800 280 391 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-16 07:40:36 12.228.216.162 GET /images/map_home_eth_line.jpg 200 42666 281 2328 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-16 14:30:24 210.214.178.148 GET /index.htm 200 7015 372 2797 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-03-16 14:30:28 210.214.178.148 GET /images/bg_gradient_home.jpg 200 4800 281 3547 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-03-16 14:30:35 210.214.178.148 GET /images/goodbye.jpg 200 22180 272 11157 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-03-16 14:30:44 210.214.178.148 GET /images/map_home_eth_line.jpg 200 42666 282 15390 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-03-16 14:36:00 210.214.178.148 GET /images/journaling2.gif 200 2288 305 1812 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-03-16 14:36:08 210.214.178.148 GET /ethiopia/ethiopia_journal.htm 200 56081 444 12859 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-03-16 14:36:12 210.214.178.148 GET /images/map_BG.jpg 200 8918 300 4047 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-03-16 14:36:12 210.214.178.148 GET /images/ethiopia.jpg 200 22058 302 13297 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-03-16 15:03:45 210.214.178.148 GET /why.htm 200 12122 451 4234 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-03-16 15:03:47 210.214.178.148 GET /images/annie-barbara-paul-small.jpg 200 4392 296 2047 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-03-16 15:03:49 210.214.178.148 GET /images/header.gif 200 2014 278 1656 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-03-16 15:03:49 210.214.178.148 GET /images/map_home_small.jpg 200 7309 286 6093 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-03-16 15:03:52 210.214.178.148 GET /images/Annie_sm.jpg 200 8096 280 2938 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-03-16 15:03:54 210.214.178.148 GET /images/Paul_sm.jpg 200 4772 279 2640 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-03-16 15:03:57 210.214.178.148 GET /images/barbara.jpg 200 17529 279 7782 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-03-16 18:11:48 12.228.216.162 GET /index.htm 200 7015 340 265 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-16 18:11:50 12.228.216.162 GET /images/goodbye.jpg 200 22180 271 1578 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-16 18:11:50 12.228.216.162 GET /images/bg_gradient_home.jpg 200 4800 280 359 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-16 18:11:50 12.228.216.162 GET /images/map_home_eth_line.jpg 200 42666 281 2375 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
