#Software: Microsoft Internet Information Services 5.0
#Version: 1.0
#Date: 2003-03-15 04:55:26
#Fields: date time c-ip cs-method cs-uri-stem sc-status sc-bytes cs-bytes time-taken cs-version cs(User-Agent) 
2003-03-15 06:19:20 216.58.207.209 GET /turkey/thumbnails/10_Fatih's+summerhouse.jpg 200 3494 333 1469 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:19:20 216.58.207.209 GET /turkey/thumbnails/11_old+part+of+Guzelyurt.jpg 200 3354 337 1390 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:19:22 216.58.207.209 GET /turkey/thumbnails/12_Guzelyurt.jpg 200 3016 319 1312 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:19:22 216.58.207.209 GET /turkey/thumbnails/13_Ramazan+Feast.jpg 200 3403 325 1328 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:19:23 216.58.207.209 GET /turkey/thumbnails/14_Mohamed+and+Pushla.jpg 200 3801 332 1469 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:19:23 216.58.207.209 GET /turkey/thumbnails/15_Kalburlu+Church+exterior.jpg 200 3105 338 1422 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:19:25 216.58.207.209 GET /turkey/thumbnails/16_Kalburlu+Church+interior.jpg 200 3590 338 1360 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:19:25 216.58.207.209 GET /turkey/thumbnails/18_guzelyurt+Hasan+mt.jpg 200 2750 332 1359 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:19:26 216.58.207.209 GET /turkey/thumbnails/17_Radias+house+-+outside.jpg 200 2777 338 1203 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:19:26 216.58.207.209 GET /turkey/thumbnails/19_Monastery+lake+old+greek+house+and+snow.jpg 200 3330 361 1219 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:19:28 216.58.207.209 GET /turkey/thumbnails/20_sheep+on+street.jpg 200 3179 329 1297 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:19:28 216.58.207.209 GET /turkey/thumbnails/21_Radiyas+house+-+annie+in+bed.jpg 200 3095 348 1235 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:19:29 216.58.207.209 GET /turkey/thumbnails/22_Radiya's+House+and+Hassan+Mt.jpg 200 2729 348 1265 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:19:29 216.58.207.209 GET /turkey/thumbnails/23_Inge+and+annie+at+lunch.jpg 200 3389 341 1219 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:19:30 216.58.207.209 GET /turkey/thumbnails/24_baking+bread+1.jpg 200 2714 328 1375 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:19:30 216.58.207.209 GET /turkey/thumbnails/25_Chilgen+Sekees.jpg 200 3749 326 1391 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:19:32 216.58.207.209 GET /turkey/thumbnails/26_baking+bread+2.jpg 200 0 328 1219 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:19:32 216.58.207.209 GET /turkey/thumbnails/27_Chanuka++candles+first+night.jpg 200 0 346 437 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:19:33 216.58.207.209 GET /turkey/pages/01_We+made+it.htm 200 1618 449 422 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:19:33 216.58.207.209 GET /turkey/images/home.gif 200 613 325 391 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:19:35 216.58.207.209 GET /turkey/images/next.gif 200 599 325 828 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:19:47 216.58.207.209 GET /turkey/images/01_We+made+it.jpg 200 62874 338 12938 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:20:30 216.58.207.209 GET /turkey/thumbnails/26_baking+bread+2.jpg 200 2851 328 859 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:20:30 216.58.207.209 GET /turkey/thumbnails/27_Chanuka++candles+first+night.jpg 200 3374 346 1359 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:20:32 216.58.207.209 GET /turkey/thumbnails/28_New+mosque+interior.jpg 200 2830 333 1359 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:20:32 216.58.207.209 GET /turkey/thumbnails/29_Ihlara+valley+hike.jpg 200 3070 332 1203 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:20:33 216.58.207.209 GET /turkey/thumbnails/30_rock+houses+at+base+of+cliff.jpg 200 2983 348 1203 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:20:33 216.58.207.209 GET /turkey/thumbnails/31_rock+church+entry.jpg 200 0 331 578 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:20:34 216.58.207.209 GET /turkey/pages/02_Epheses+.htm 200 1727 445 422 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:20:34 216.58.207.209 GET /turkey/images/previous.gif 200 609 325 422 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:20:37 12.228.216.162 GET /index.htm 200 7015 340 312 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-15 06:20:39 12.228.216.162 GET /images/goodbye.jpg 200 22180 271 2234 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-15 06:20:39 12.228.216.162 GET /images/bg_gradient_home.jpg 200 4800 280 516 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-15 06:20:39 12.228.216.162 GET /images/map_home_eth_line.jpg 200 42666 281 2969 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-15 06:20:46 216.58.207.209 GET /turkey/images/02_Epheses+.jpg 200 54359 330 11125 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:20:50 12.228.216.162 GET /homeschool.htm 200 6241 397 250 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-15 06:20:50 12.228.216.162 GET /images/header.gif 200 2014 284 235 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-15 06:20:50 12.228.216.162 GET /images/map_BG.jpg 200 8918 284 344 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-15 06:20:50 12.228.216.162 GET /images/northwestschoollogo.jpg 200 4461 297 109 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-15 06:20:51 12.228.216.162 GET /images/northwestschool.jpg 200 21231 293 922 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-15 06:20:53 216.58.207.209 GET /turkey/pages/03_Barbara+and+Mommy.htm 200 1774 470 422 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:21:00 12.228.216.162 GET /fatma.htm 200 12972 219 516 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-15 06:21:00 12.228.216.162 GET /images/necklace.jpg 200 11674 281 515 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-15 06:21:00 216.58.207.209 GET /turkey/images/03_Barbara+and+Mommy.jpg 200 35098 352 7359 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:21:20 216.58.207.209 GET /turkey/pages/04_man+playing+saz+in+carpet+shop.htm 200 1634 500 422 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:21:34 216.58.207.209 GET /turkey/images/04_man+playing+saz+in+carpet+shop.jpg 200 67876 390 13797 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:21:44 216.58.207.209 GET /turkey/pages/05_streetscape+with+fish+guys.htm 200 1700 511 421 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:21:56 216.58.207.209 GET /turkey/images/05_streetscape+with+fish+guys.jpg 200 56880 374 11640 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:22:01 216.58.207.209 GET /turkey/pages/06_apartments+near+Kayseri.htm 200 1754 498 437 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:22:11 216.58.207.209 GET /turkey/images/06_apartments+near+Kayseri.jpg 200 44954 364 9422 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:22:19 216.58.207.209 GET /turkey/pages/07_Men+in+Kayseri+Cavanaserai.htm 200 1771 498 422 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:22:30 216.58.207.209 GET /turkey/images/07_Men+in+Kayseri+Cavanaserai.jpg 200 49831 374 10171 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:22:40 216.58.207.209 GET /turkey/pages/08_Men+with+prayer+beads.htm 200 1654 498 421 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:22:44 216.58.207.209 GET /turkey/images/08_Men+with+prayer+beads.jpg 200 15958 364 3656 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
