#Software: Microsoft Internet Information Services 5.0
#Version: 1.0
#Date: 2003-05-17 12:48:28
#Fields: date time c-ip cs-method cs-uri-stem sc-status sc-bytes cs-bytes time-taken cs-version cs(User-Agent) 
2003-05-17 12:48:28 64.156.198.78 GET /index.htm 200 7827 129 1625 HTTP/1.1 Mozilla/5.0+(compatible;+Konqueror/3.0-rc3;+i686+Linux;+20020919)
2003-05-17 16:42:21 12.208.125.62 GET /index.htm 200 7827 372 250 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-05-17 16:42:22 12.208.125.62 GET /images/goodbye.jpg 200 22180 271 1015 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-05-17 16:42:22 12.208.125.62 GET /images/bg_gradient_home.jpg 200 4800 280 281 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-05-17 16:42:24 12.208.125.62 GET /images/map_beige_guat7.jpg 200 44182 279 1688 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-05-17 16:42:49 12.208.125.62 GET /images/journaling2.gif 200 2288 296 328 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-05-17 16:42:50 12.208.125.62 GET /laos/laos_journal.htm 200 63839 347 3032 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-05-17 16:42:50 12.208.125.62 GET /images/map_BG.jpg 200 8918 291 656 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-05-17 16:42:50 12.208.125.62 GET /images/laos.jpg 200 21507 289 1641 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-05-17 16:46:15 12.208.125.62 GET /spain/index.htm 200 10602 225 390 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-05-17 16:46:16 12.208.125.62 GET /spain/thumbnails/Lucas_Roberto_y_Lucas_en_Sevilla.jpg 200 9133 321 500 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-05-17 16:46:16 12.208.125.62 GET /spain/thumbnails/Morro_humping_Paul.jpg 200 9427 307 547 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-05-17 16:46:16 12.208.125.62 GET /spain/thumbnails/B_reading_on_deck_of_Pilars_house_Sevilla.jpg 200 9127 330 609 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-05-17 16:46:16 12.208.125.62 GET /spain/thumbnails/narrow_streets_barrio_Sta_Cruz_Sevilla.jpg 200 9739 327 578 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-05-17 16:46:16 12.208.125.62 GET /spain/thumbnails/Alcazar_courtyard_Sevilla.jpg 200 8616 314 313 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-05-17 16:46:18 12.208.125.62 GET /spain/thumbnails/Alcazar_underground_pool.jpg 200 8507 313 828 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
