#Software: Microsoft Internet Information Services 5.0
#Version: 1.0
#Date: 2004-09-28 16:00:00
#Fields: date time c-ip cs-method cs-uri-stem sc-status sc-bytes cs-bytes time-taken cs-version cs(User-Agent) 
2004-09-28 22:59:57 24.18.215.242 GET /pakistan/thumbnails/17Old+City+street+scene.jpg 200 3097 345 219 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 22:59:57 24.18.215.242 GET /pakistan/thumbnails/19camel+cart.jpg 200 2280 330 171 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 22:59:57 24.18.215.242 GET /pakistan/thumbnails/20masai+village.jpg 200 2401 333 94 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 22:59:57 24.18.215.242 GET /pakistan/thumbnails/21jumping+with+masai.jpg 200 4665 340 188 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 22:59:57 24.18.215.242 GET /pakistan/thumbnails/22our+group.jpg 200 3650 329 266 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 22:59:57 24.18.215.242 GET /pakistan/thumbnails/23elephant+stud.jpg 200 3082 333 171 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 22:59:57 24.18.215.242 GET /pakistan/thumbnails/24lions+on+road.jpg 200 2952 335 219 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 22:59:57 24.18.215.242 GET /pakistan/thumbnails/25playingcards_hippo_mara.jpg 200 3536 341 282 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 23:00:01 24.18.215.242 GET /pakistan/pages/03watertaxiskylline.htm 200 1598 491 172 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 23:00:01 24.18.215.242 GET /pakistan/images/home.gif 200 614 336 109 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 23:00:01 24.18.215.242 GET /pakistan/images/previous.gif 200 610 340 109 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 23:00:01 24.18.215.242 GET /pakistan/images/next.gif 200 600 336 219 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 23:00:03 24.18.215.242 GET /pakistan/images/03watertaxiskylline.jpg 200 48570 351 1500 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 23:00:04 24.18.215.242 GET /pakistan/pages/02boats+old+skylline.htm 200 1647 516 110 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 23:00:06 24.18.215.242 GET /pakistan/images/02boats+old+skylline.jpg 200 43260 361 1313 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 23:00:08 24.18.215.242 GET /pakistan/pages/04boat+crew.htm 200 1567 505 109 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 23:00:09 24.18.215.242 GET /pakistan/images/04boat+crew.jpg 200 55897 339 1406 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 23:00:11 24.18.215.242 GET /pakistan/pages/05christmas+tree.htm 200 1762 504 141 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 23:00:12 24.18.215.242 GET /pakistan/images/05christmas+tree.jpg 200 39564 349 1218 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 23:00:15 24.18.215.242 GET /pakistan/pages/06Iranian+mosque.htm 200 1504 509 125 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 23:00:17 24.18.215.242 GET /pakistan/images/06Iranian+mosque.jpg 200 73785 349 1844 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 23:00:18 24.18.215.242 GET /pakistan/pages/07crazy+families.htm 200 1819 509 125 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 23:00:19 24.18.215.242 GET /pakistan/images/07crazy+families.jpg 200 33708 349 1062 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 23:00:23 24.18.215.242 GET /pakistan/images/08new+year's+day+on+beach.+jpg.jpg 200 30572 397 922 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 23:00:23 24.18.215.242 GET /pakistan/pages/08new+year's+day+on+beach.+jpg.htm 200 1682 533 1594 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
