#Software: Microsoft Internet Information Services 5.0
#Version: 1.0
#Date: 2003-07-13 11:15:44
#Fields: date time c-ip cs-method cs-uri-stem sc-status sc-bytes cs-bytes time-taken cs-version cs(User-Agent) 
2003-07-13 21:04:10 66.32.234.212 GET /homeschool_weaving.htm 200 7985 238 407 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312461)
2003-07-13 21:04:11 66.32.234.212 GET /images/annie_weaving_pic1.jpg 200 21254 310 1281 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312461)
2003-07-13 21:04:11 66.32.234.212 GET /images/annie_weaving_pic2.jpg 200 30012 310 1703 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312461)
2003-07-13 21:04:13 66.32.234.212 GET /images/annie_weaving_pic3.jpg 200 19743 310 1594 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312461)
2003-07-13 21:04:13 66.32.234.212 GET /images/annie_weaving_pic4.jpg 200 19054 310 1250 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312461)
2003-07-13 21:05:08 66.32.234.212 GET /images/goodbye.jpg 304 141 374 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312461)
2003-07-13 21:05:08 66.32.234.212 GET /index.htm 200 7766 443 344 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312461)
2003-07-13 21:05:08 66.32.234.212 GET /images/map_beige_guat7.jpg 304 141 382 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312461)
2003-07-13 21:05:08 66.32.234.212 GET /images/bg_gradient_home.jpg 304 140 382 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312461)
2003-07-13 21:05:16 66.32.234.212 GET /pakistan/pakistan_journal.htm 200 11056 458 469 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312461)
2003-07-13 21:05:16 66.32.234.212 GET /images/journaling2.gif 200 2288 310 203 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312461)
2003-07-13 21:05:16 66.32.234.212 GET /images/map_BG.jpg 304 141 393 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312461)
2003-07-13 21:05:16 66.32.234.212 GET /images/pakistan.jpg 200 21877 307 937 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312461)
2003-07-13 21:05:58 66.32.234.212 GET /images/ethiopia.jpg 304 141 395 16 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312461)
2003-07-13 21:06:00 66.32.234.212 GET /ethiopia/ethiopia_journal.htm 200 56081 458 2079 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312461)
