#Software: Microsoft Internet Information Services 5.0
#Version: 1.0
#Date: 2003-06-10 06:21:26
#Fields: date time c-ip cs-method cs-uri-stem sc-status sc-bytes cs-bytes time-taken cs-version cs(User-Agent) 
2003-06-10 11:28:46 80.11.67.75 GET /spain/thumbnails/El+Bosque+from+above.jpg 304 141 413 16 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:28:46 80.11.67.75 GET /spain/thumbnails/El+Bosque+kids+at+plaza.jpg 304 141 418 15 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:28:46 80.11.67.75 GET /spain/thumbnails/Grazelema+from+above.jpg 304 140 410 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:28:46 80.11.67.75 GET /spain/thumbnails/P-AJ+in+Triana+at+night.jpg 304 141 418 16 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:28:46 80.11.67.75 GET /spain/thumbnails/Quick+friends+in+Villamartin.jpg 304 141 421 16 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:28:47 80.11.67.75 GET /spain/thumbnails/Teresa,+P+and+AJ+in+our+casita.jpg 304 141 429 15 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:28:47 80.11.67.75 GET /spain/thumbnails/Villamartin+caballero+line+up.jpg 304 141 422 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:28:47 80.11.67.75 GET /spain/thumbnails/Villamartin+women+dancing.jpg 304 141 416 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:34 80.11.67.75 GET /spain/index.htm 304 141 323 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:34 80.11.67.75 GET /spain/thumbnails/Lucas_Roberto_y_Lucas_en_Sevilla.jpg 304 141 419 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:34 80.11.67.75 GET /spain/thumbnails/Morro_humping_Paul.jpg 304 141 405 16 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:34 80.11.67.75 GET /spain/thumbnails/B_reading_on_deck_of_Pilars_house_Sevilla.jpg 304 141 428 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:34 80.11.67.75 GET /spain/thumbnails/narrow_streets_barrio_Sta_Cruz_Sevilla.jpg 304 141 425 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:35 80.11.67.75 GET /spain/thumbnails/Alcazar_courtyard_Sevilla.jpg 304 141 412 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:35 80.11.67.75 GET /spain/thumbnails/Alcazar_underground_pool.jpg 304 141 411 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:35 80.11.67.75 GET /spain/thumbnails/Giralda+Tower_Sevilla.jpg 304 141 410 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:35 80.11.67.75 GET /spain/thumbnails/Sevilla_from_top_of_Giralda_Tower.jpg 304 141 420 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:35 80.11.67.75 GET /spain/thumbnails/AJ_feeding_birds_in_Sevilla.jpg 304 141 414 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:35 80.11.67.75 GET /spain/thumbnails/AJ_y_Inma_in_Sevilla_market.jpg 304 141 414 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:36 80.11.67.75 GET /spain/thumbnails/Paul_in_the_movie_Carmen_in_Sevilla.jpg 304 141 422 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:36 80.11.67.75 GET /spain/thumbnails/AJ+with+Trepadoro.jpg 304 141 408 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:36 80.11.67.75 GET /spain/thumbnails/Alcazar+hallway+looking+both+north+and+south.jpg 304 141 443 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:36 80.11.67.75 GET /spain/thumbnails/Calle+El+Chorro.jpg 304 141 406 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:36 80.11.67.75 GET /spain/thumbnails/El+Bosque+bride.jpg 304 141 406 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:36 80.11.67.75 GET /spain/thumbnails/El+Bosque+farm.jpg 304 141 405 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:37 80.11.67.75 GET /spain/thumbnails/El+Bosque+from+above.jpg 304 141 413 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:37 80.11.67.75 GET /spain/thumbnails/El+Bosque+kids+at+plaza.jpg 304 141 418 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:37 80.11.67.75 GET /spain/thumbnails/Grazelema+from+above.jpg 304 140 410 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:37 80.11.67.75 GET /spain/thumbnails/P-AJ+in+Triana+at+night.jpg 304 141 418 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:37 80.11.67.75 GET /spain/thumbnails/Quick+friends+in+Villamartin.jpg 304 141 421 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:37 80.11.67.75 GET /spain/thumbnails/Teresa,+P+and+AJ+in+our+casita.jpg 304 141 429 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:38 80.11.67.75 GET /spain/thumbnails/Villamartin+caballero+line+up.jpg 304 141 422 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:38 80.11.67.75 GET /spain/thumbnails/Villamartin+women+dancing.jpg 304 141 416 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:49 80.11.67.75 GET /laos/index.htm 304 141 322 31 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:49 80.11.67.75 GET /laos/thumbnails/01_reclining+golden+buddah+(Bangkok).jpg 304 141 427 15 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:49 80.11.67.75 GET /laos/thumbnails/02_Bangkok+monk+with+stature+at+palace'.jpg 304 140 435 15 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:49 80.11.67.75 GET /laos/thumbnails/03_Annie+in+whites+at+Wat+Pradhatu+sri+Chom+Tong.jpg 304 141 449 15 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:50 80.11.67.75 GET /laos/thumbnails/04_Wat+Pradhatu+sri+Chom+Tong+stupa.jpg 304 141 430 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:50 80.11.67.75 GET /laos/thumbnails/05_woman+with+baskets+in+Chiang+Mai.jpg 304 141 430 16 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:50 80.11.67.75 GET /laos/thumbnails/06_Lao+boatmen.jpg 304 141 401 16 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:50 80.11.67.75 GET /laos/thumbnails/07_kids+on+riverbank+with+B.jpg 304 141 420 16 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:50 80.11.67.75 GET /laos/thumbnails/08_Hmong+family+on+bus+back.jpg 304 141 420 15 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:51 80.11.67.75 GET /laos/thumbnails/09_Lao+new+year+-+getting+splashed.jpg 304 141 429 16 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:51 80.11.67.75 GET /laos/thumbnails/10_Luang+Prabang+night+market.jpg 304 141 420 16 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:51 80.11.67.75 GET /laos/thumbnails/11_Haw+Pha+Bang+Wat+-+Luang+Prabang.jpg 304 141 432 16 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
