#Software: Microsoft Internet Information Services 5.0
#Version: 1.0
#Date: 2003-07-16 11:08:53
#Fields: date time c-ip cs-method cs-uri-stem sc-status sc-bytes cs-bytes time-taken cs-version cs(User-Agent) 
2003-07-16 11:08:53 64.156.198.78 GET /ethiopia.htm 200 8050 135 235 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312468)
2003-07-16 15:22:51 64.156.198.78 GET /index.htm 200 7827 129 203 HTTP/1.1 Mozilla/5.0+(compatible;+Konqueror/3.0-rc3;+i686+Linux;+20021013)
2003-07-16 23:52:20 12.242.136.125 GET /index.htm 200 7827 254 203 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-07-16 23:52:21 12.242.136.125 GET /images/goodbye.jpg 200 22180 272 750 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-07-16 23:52:21 12.242.136.125 GET /images/bg_gradient_home.jpg 200 4800 281 266 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-07-16 23:52:24 12.242.136.125 GET /images/map_beige_guat7.jpg 200 44182 280 2110 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-07-16 23:52:33 12.242.136.125 GET /images/bg_gradient_home.jpg 304 140 325 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-07-16 23:52:33 12.242.136.125 GET /images/goodbye.jpg 304 141 317 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-07-16 23:52:33 12.242.136.125 GET /images/map_beige_guat7.jpg 304 141 325 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
